GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Enrolled in school:,Margin of Error; Enrolled in school:,"Estimate; Enrolled in school: - Enrolled in nursery school, preschool","Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool",Estimate; Enrolled in school: - Enrolled in kindergarten,Margin of Error; Enrolled in school: - Enrolled in kindergarten,Estimate; Enrolled in school: - Enrolled in grade 1 to grade 4,Margin of Error; Enrolled in school: - Enrolled in grade 1 to grade 4,Estimate; Enrolled in school: - Enrolled in grade 5 to grade 8,Margin of Error; Enrolled in school: - Enrolled in grade 5 to grade 8,Estimate; Enrolled in school: - Enrolled in grade 9 to grade 12,Margin of Error; Enrolled in school: - Enrolled in grade 9 to grade 12,"Estimate; Enrolled in school: - Enrolled in college, undergraduate years","Margin of Error; Enrolled in school: - Enrolled in college, undergraduate years",Estimate; Enrolled in school: - Graduate or professional school,Margin of Error; Enrolled in school: - Graduate or professional school,Estimate; Not enrolled in school,Margin of Error; Not enrolled in school
0400000US25,25,Massachusetts,6530783,2033,1748398,5083,111126,2049,78297,2072,301022,3070,319730,2931,343004,2123,455766,3771,139453,2980,4782385,4879
0500000US25001,25001,"Barnstable County, Massachusetts",209869,312,40016,779,2559,316,1775,294,7532,361,8310,448,9449,408,8316,580,2075,356,169853,750
0500000US25003,25003,"Berkshire County, Massachusetts",125242,221,29097,554,1687,216,1421,208,4927,363,5148,357,6309,290,8259,493,1346,205,96145,517
0500000US25005,25005,"Bristol County, Massachusetts",538603,729,136658,1309,9989,652,5890,541,26588,918,26298,846,29649,659,32315,1197,5929,575,401945,1138
0500000US25007,25007,"Dukes County, Massachusetts",16713,102,3093,205,235,91,176,124,741,122,832,170,844,179,230,121,35,42,13620,177
0500000US25009,25009,"Essex County, Massachusetts",744256,649,192564,1800,12637,682,9124,680,36326,992,39885,1105,42200,770,42718,1243,9674,831,551692,1632
0500000US25011,25011,"Franklin County, Massachusetts",68889,143,15054,394,816,164,738,153,2790,214,3019,242,3328,142,3226,333,1137,206,53835,406
0500000US25013,25013,"Hampden County, Massachusetts",452530,468,122028,1388,7596,540,5634,572,22859,887,24452,980,26529,661,29899,1028,5059,545,330502,1428
0500000US25015,25015,"Hampshire County, Massachusetts",157879,260,57132,782,1799,279,1368,253,5716,389,5905,362,6315,371,32401,848,3628,379,100747,739
0500000US25017,25017,"Middlesex County, Massachusetts",1515721,1007,413835,2491,29291,991,18002,750,69222,1206,72488,1214,77123,1016,101097,2255,46612,1401,1101886,2559
0500000US25019,25019,"Nantucket County, Massachusetts",10397,81,2303,238,151,46,118,77,560,120,387,122,450,94,472,133,165,63,8094,237
0500000US25021,25021,"Norfolk County, Massachusetts",669630,551,180418,1794,13372,654,8322,557,33120,1058,35633,990,36732,764,39085,1383,14154,851,489212,1654
0500000US25023,25023,"Plymouth County, Massachusetts",490934,614,127644,1335,8844,653,6220,515,24900,850,27038,844,29916,648,25199,1085,5527,521,363290,1432
0500000US25025,25025,"Suffolk County, Massachusetts",742418,750,216973,1956,9067,613,10052,803,26804,925,27914,1087,29011,776,82636,1510,31489,1410,525445,1983
0500000US25027,25027,"Worcester County, Massachusetts",787702,660,211583,2117,13083,843,9457,724,38937,1018,42421,1113,45149,779,49913,1570,12623,809,576119,2097
0600000US2500100000,2500100000,"County subdivisions not defined, Barnstable County, Massachusetts",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US2500103690,2500103690,"Barnstable Town city, Barnstable County, Massachusetts",43494,252,9031,519,590,173,385,178,1607,256,1817,302,2271,338,1881,311,480,152,34463,506
0600000US2500107175,2500107175,"Bourne town, Barnstable County, Massachusetts",19453,111,4556,382,220,108,144,85,723,161,810,174,1271,199,1216,273,172,76,14897,397
0600000US2500107980,2500107980,"Brewster town, Barnstable County, Massachusetts",9680,144,1608,246,133,100,159,111,374,150,375,130,295,111,235,143,37,39,8072,248
0600000US2500112995,2500112995,"Chatham town, Barnstable County, Massachusetts",5948,124,959,182,79,59,25,39,152,77,187,87,195,92,233,109,88,66,4989,223
0600000US2500116775,2500116775,"Dennis town, Barnstable County, Massachusetts",13750,127,1773,318,174,106,32,30,319,97,282,92,323,96,521,213,122,54,11977,321
